ID Geography,Geography,Population (2018)
05000US06107,"Tulare County, CA",465861
05000US54011,"Cabell County, WV",93224
05000US29165,"Platte County, MO",102985
05000US45007,"Anderson County, SC",200482
05000US06111,"Ventura County, CA",850967
05000US29099,"Jefferson County, MO",224347
05000US29097,"Jasper County, MO",120636
05000US45013,"Beaufort County, SC",188715
05000US29095,"Jackson County, MO",700307
05000US06113,"Yolo County, CA",220408
05000US54003,"Berkeley County, WV",117123
05000US29077,"Greene County, MO",291923
05000US45015,"Berkeley County, SC",221091
05000US06115,"Yuba County, CA",78041
05000US29071,"Franklin County, MO",103670
05000US29051,"Cole County, MO",76796
05000US45019,"Charleston County, SC",405905
05000US29047,"Clay County, MO",246365
05000US08001,"Adams County, CO",511868
05000US53077,"Yakima County, WA",251446
05000US29043,"Christian County, MO",86983
05000US45031,"Darlington County, SC",66802
05000US08005,"Arapahoe County, CO",651215
05000US29037,"Cass County, MO",104954
05000US29031,"Cape Girardeau County, MO",78753
05000US45035,"Dorchester County, SC",160647
05000US29021,"Buchanan County, MO",88571
05000US08013,"Boulder County, CO",326078
05000US29019,"Boone County, MO",180005
05000US45041,"Florence County, SC",138159
05000US08014,"Broomfield County, CO",69267
05000US53073,"Whatcom County, WA",225685
05000US28121,"Rankin County, MS",153902
05000US28089,"Madison County, MS",105630
05000US08031,"Denver County, CO",716492
05000US45045,"Greenville County, SC",514213
05000US28081,"Lee County, MS",85202
05000US28075,"Lauderdale County, MS",75317
05000US45047,"Greenwood County, SC",70741
05000US08035,"Douglas County, CO",342776
05000US53067,"Thurston County, WA",286419
05000US28067,"Jones County, MS",68461
05000US28059,"Jackson County, MS",143277
05000US08041,"El Paso County, CO",713856
05000US45051,"Horry County, SC",344147
05000US28049,"Hinds County, MS",237085
05000US45055,"Kershaw County, SC",65592
05000US28047,"Harrison County, MS",206650
05000US08059,"Jefferson County, CO",580233
05000US53063,"Spokane County, WA",514631
05000US28035,"Forrest County, MS",75036
05000US45057,"Lancaster County, SC",95380
05000US08069,"Larimer County, CO",350518
05000US28033,"DeSoto County, MS",182001
05000US27171,"Wright County, MN",136349
05000US45059,"Laurens County, SC",66994
05000US27163,"Washington County, MN",259201
05000US08077,"Mesa County, CO",153207
05000US53061,"Snohomish County, WA",814901
05000US27145,"Stearns County, MN",159256
05000US45063,"Lexington County, SC",295032
05000US08101,"Pueblo County, CO",167529
05000US27141,"Sherburne County, MN",96036
05000US27139,"Scott County, MN",147381
05000US45073,"Oconee County, SC",78374
05000US27137,"St. Louis County, MN",199754
05000US08123,"Weld County, CO",314305
05000US53057,"Skagit County, WA",128206
05000US27131,"Rice County, MN",66523
05000US45075,"Orangeburg County, SC",86934
05000US09001,"Fairfield County, CT",943823
05000US27123,"Ramsey County, MN",550210
05000US27109,"Olmsted County, MN",156277
05000US45077,"Pickens County, SC",124937
05000US27053,"Hennepin County, MN",1259428
05000US09003,"Hartford County, CT",892697
05000US53053,"Pierce County, WA",891299
05000US27037,"Dakota County, MN",425423
05000US45079,"Richland County, SC",414576
05000US09005,"Litchfield County, CT",181111
05000US27019,"Carver County, MN",103551
05000US27013,"Blue Earth County, MN",67427
05000US45083,"Spartanburg County, SC",313888
05000US27003,"Anoka County, MN",353813
05000US09007,"Middlesex County, CT",162682
05000US53045,"Mason County, WA",65507
05000US26163,"Wayne County, MI",1753893
05000US45085,"Sumter County, SC",106512
05000US09009,"New Haven County, CT",857620
05000US53041,"Lewis County, WA",79604
05000US26161,"Washtenaw County, MI",370963
05000US26159,"Van Buren County, MI",75448
05000US45091,"York County, SC",274118
05000US09011,"New London County, CT",266784
05000US26155,"Shiawassee County, MI",68192
05000US26147,"St. Clair County, MI",159337
05000US46099,"Minnehaha County, SD",192876
05000US09013,"Tolland County, CT",150921
05000US53035,"Kitsap County, WA",269805
05000US26145,"Saginaw County, MI",190800
05000US26139,"Ottawa County, MI",290494
05000US46103,"Pennington County, SD",111729
05000US09015,"Windham County, CT",117027
05000US26125,"Oakland County, MI",1259201
05000US26121,"Muskegon County, MI",173588
05000US47001,"Anderson County, TN",76482
05000US10001,"Kent County, DE",178550
05000US53033,"King County, WA",2233163
05000US26115,"Monroe County, MI",150439
05000US26111,"Midland County, MI",83209
05000US47009,"Blount County, TN",131349
05000US10003,"New Castle County, DE",559335
05000US26103,"Marquette County, MI",66516
05000US26099,"Macomb County, MI",874759
05000US47011,"Bradley County, TN",106727
05000US10005,"Sussex County, DE",229286
05000US53029,"Island County, WA",84460
05000US26093,"Livingston County, MI",191224
05000US26091,"Lenawee County, MI",98266
05000US47037,"Davidson County, TN",692587
05000US11001,"District of Columbia, DC",702455
